stnname,country_left,country_right
Allée Auguste Chabrol,FRA,FRA
Allée August Renoir,FRA,FRA
Allée Aumônier Robineau,FRA,FRA
Allée Azenor,FRA,FRA
Allée Badin,FRA,FRA
Allée Banizard,FRA,FRA
Allée Barran,FRA,FRA
Allée Basse du Rempart,FRA,FRA
Allée Bazin Bas,FRA,FRA
Allée B des Petites Blaches,FRA,FRA
Allée Belle Limousine,FRA,FRA
Allée Berdier,FRA,FRA
Allée Bergeronnettes,FRA,FRA
Allée Bernadette Cattaneo,FRA,FRA
Allée Bernard Percevault,FRA,FRA
Allée Berthelet,FRA,FRA
Allée Berthe Pellissier,FRA,FRA
Allée Bikini,FRA,FRA
Allée Billaud-Varenne,FRA,FRA
Allée Blanc,FRA,FRA
Allée Blanchard,FRA,FRA
Allée Bonnevay,FRA,FRA
Allée Bonnisseau,FRA,FRA
Allée Boticelli,FRA,FRA
Allée Boubouchette,FRA,FRA
Allée Bourgard,FRA,FRA
Allée Bousquet,FRA,FRA
Allée Bouzat,FRA,FRA
Allée Bruyères,FRA,FRA
Allée Cab Calloway,FRA,FRA
Allée Cabiraud,FRA,FRA
Allée Cacheren,FRA,FRA
Allée Cahier de Gerville,FRA,FRA
Allée Cantelou,FRA,FRA
Allée Capsus,FRA,FRA
Allée Caquot,FRA,FRA
Allée Carducci,FRA,FRA
Allée Carème Entrant,FRA,FRA
Allée Cascade Zola,FRA,FRA
Allée Castel del Lutz,FRA,FRA
Allée Catherine Tabaraud,FRA,FRA
Allée Causse,FRA,FRA
Allée Célérier,FRA,FRA
Allée Célestin Dumas,FRA,FRA
Allée Chabretaire,FRA,FRA
Allée Champ Caulot,FRA,FRA
Allée Champ Fleuri Chambroutet,FRA,FRA
Allée Champrêle,FRA,FRA
Allée Chante-Brise,FRA,FRA
Allée Chapon Chaniat,FRA,FRA
Allée Charcambeau,FRA,FRA
Allée Charles Berthe,FRA,FRA
Allée Charles de Foucavet,FRA,FRA
Allée Charles Duvernet,FRA,FRA
Allée Charles Lecocq,FRA,FRA
Allée Charles Louis,FRA,FRA
Allée Charlotte Gastineau,FRA,FRA
Allée Château de Lafaurie,FRA,FRA
Allée Château Maillé,FRA,FRA
Allée Cherinel,FRA,FRA
Allée Christian,FRA,FRA
Allée Christiane Desroches-Noblecourt,FRA,FRA
Allée Claude Dhières,FRA,FRA
Allée Claude Montal,FRA,FRA
Allée Claude Patrick,FRA,FRA
Allée Clémenso,FRA,FRA
Allée Clos de Devant,FRA,FRA
Allée Clos Nicolas,FRA,FRA
Allée Clos Solange,FRA,FRA
Allée Cœur,FRA,FRA
Allée Colonel Bourgoin,FRA,FRA
Allée Combe Blanche,FRA,FRA
Allée Communale,FRA,FRA
Allée Comte,FRA,FRA
Allée Confucius,FRA,FRA
Allée Corbineau,FRA,FRA
Allée Corvée,FRA,FRA
Allée Cosso,FRA,FRA
Allée Coulée,FRA,FRA
Allée Counoise,FRA,FRA
Allée Courbeloup,FRA,FRA
Allée Courel,FRA,FRA
Allée Creis,FRA,FRA
Allée Creux du Loup,FRA,FRA
Allée Cueille Nord,FRA,FRA
Allée Cugnot,FRA,FRA
Allée Curtil Budin,FRA,FRA
Allée d'Aiguebelle,FRA,FRA
Allée d'Antone,FRA,FRA
Allée d'Arcy,FRA,FRA
Allée d'Arlon,FRA,FRA
Allée Darriet Ouest,FRA,FRA
Allée d'Arthez,FRA,FRA
Allée d'Auxois,FRA,FRA
Allée d'Aylesham,FRA,FRA
Allée de Baccara,FRA,FRA
Allée de Balvras,FRA,FRA
Allée de Baratzeder,FRA,FRA
Allée de Bareyre,FRA,FRA
Allée de Barret,FRA,FRA
Allée de Bélisaire,FRA,FRA
Allée de Bernicot,FRA,FRA
Allée de Besse,FRA,FRA
Allée de Betters,FRA,FRA
Allée de Beygerayre,FRA,FRA
Allée de Bigueyrie,FRA,FRA
Allée de Blendecques,FRA,FRA
Allée de Bois de Fosses,FRA,FRA
Allée de Bordebasse,FRA,FRA
Allée de Bort,FRA,FRA
Allée de Bosne,FRA,FRA
Allée de Bredanne,FRA,FRA
Allée de Brolles,FRA,FRA
Allée de Buet,FRA,FRA
Allée de Calle Rousse,FRA,FRA
Allée de Campou Grimaldi Régusse,FRA,FRA
Allée de Capdoubos,FRA,FRA
Allée de Chambas,FRA,FRA
Allée de Champ Blanc,FRA,FRA
Allée de Champ de Baze,FRA,FRA
Allée de Champ Doumen,FRA,FRA
Allée de Champ Thibault Saint-Sauveur,FRA,FRA
Allée de Chardillonnay,FRA,FRA
Allée de Château Fort,FRA,FRA
Allée de Chaurionde,FRA,FRA
Allée de Coinaud,FRA,FRA
Allée de Coppet,FRA,FRA
Allée de Corbier,FRA,FRA
